,Date,LastTradePrice,Max,Min,AvgPrice,%chg,Volume,TurnoverBestMKD,TotalTurnoverMKD
0,28/11/2024,"1.500,00",,,"1.500,00","0,00",0,0,0
1,27/11/2024,"1.500,00",,,"1.500,00","0,00",0,0,0
2,26/11/2024,"1.500,00",,,"1.500,00","0,00",0,0,0
3,25/11/2024,"1.500,00",,,"1.500,00","0,00",0,0,0
4,22/11/2024,"1.500,00",,,"1.500,00","0,00",0,0,0
5,21/11/2024,"1.500,00",,,"1.500,00","0,00",0,0,0
6,20/11/2024,"1.500,00",,,"1.500,00","0,00",0,0,0
7,19/11/2024,"1.500,00",,,"1.500,00","0,00",0,0,0
8,18/11/2024,"1.500,00",,,"1.500,00","0,00",0,0,0
9,15/11/2024,"1.500,00",,,"1.500,00","0,00",0,0,0
10,14/11/2024,"1.500,00",,,"1.500,00","0,00",0,0,0
11,13/11/2024,"1.500,00",,,"1.500,00","0,00",0,0,0
12,12/11/2024,"1.500,00",,,"1.500,00","0,00",0,0,0
13,11/11/2024,"1.500,00",,,"1.500,00","0,00",0,0,0
14,08/11/2024,"1.500,00",,,"1.500,00","0,00",0,0,0
15,07/11/2024,"1.500,00",,,"1.500,00","0,00",0,0,0
16,06/11/2024,"1.500,00",,,"1.500,00","0,00",0,0,0
17,05/11/2024,"1.500,00",,,"1.500,00","0,00",0,0,0
18,04/11/2024,"1.500,00",,,"1.500,00","0,00",0,0,0
19,01/11/2024,"1.500,00",,,"1.500,00","0,00",0,0,0
20,31/10/2024,"1.500,00",,,"1.500,00","0,00",0,0,0
21,30/10/2024,"1.500,00",,,"1.500,00","0,00",0,0,0
22,29/10/2024,"1.500,00",,,"1.500,00","0,00",0,0,0
23,28/10/2024,"1.500,00",,,"1.500,00","0,00",0,0,0
24,25/10/2024,"1.500,00",,,"1.500,00","0,00",0,0,0
25,24/10/2024,"1.500,00",,,"1.500,00","0,00",0,0,0
26,22/10/2024,"1.500,00",,,"1.500,00","0,00",0,0,0
27,21/10/2024,"1.500,00",,,"1.500,00","0,00",0,0,0
28,18/10/2024,"1.500,00",,,"1.500,00","0,00",0,0,0
29,17/10/2024,"1.500,00",,,"1.500,00","0,00",0,0,0
30,16/10/2024,"1.500,00",,,"1.500,00","0,00",0,0,0
31,15/10/2024,"1.500,00",,,"1.500,00","0,00",0,0,0
32,14/10/2024,"1.500,00",,,"1.500,00","0,00",0,0,0
33,10/10/2024,"1.500,00",,,"1.500,00","0,00",0,0,0
34,09/10/2024,"1.500,00",,,"1.500,00","0,00",0,0,0
35,08/10/2024,"1.500,00",,,"1.500,00","0,00",0,0,0
36,07/10/2024,"1.500,00",,,"1.500,00","0,00",0,0,0
37,04/10/2024,"1.500,00",,,"1.500,00","0,00",0,0,0
38,03/10/2024,"1.500,00",,,"1.500,00","0,00",0,0,0
39,02/10/2024,"1.500,00",,,"1.500,00","0,00",0,0,0
40,01/10/2024,"1.500,00",,,"1.500,00","0,00",0,0,0
41,30/09/2024,"1.500,00",,,"1.500,00","0,00",0,0,0
